term,category
Accessible Web sites for the deaf,ChangeHeadingLCSH
Adiwasi Oriya language,ChangeHeadingLCSH
"Aesthetics, Mogul Empire",ChangeHeadingLCSH
Afghanistan--Politics and government--2001-,ChangeHeadingLCSH
African American bisexuals,ChangeHeadingLCSH
African American gays,ChangeHeadingLCSH
African American gays in literature,ChangeHeadingLCSH
Afro-Brazilian cults,ChangeHeadingLCSH
Afro-Caribbean cults,ChangeHeadingLCSH
Aged,ChangeHeadingLCSH
"Al-Aqsa Intifada, 2000-",ChangeHeadingLCSH
"Alamo (San Antonio, Tex.)--Siege, 1836",ChangeHeadingLCSH
Alevi poetry,ChangeHeadingLCSH
Aliens,ChangeHeadingLCSH
Ammassalimiut dialect,ChangeHeadingLCSH
Amycus (Greek mythology),CancelHeadingLCSH
Anaxarete (Greek mythology),CancelHeadingLCSH
Anaxarete (Greek mythology) in literature,CancelHeadingLCSH
Anime,CancelHeadingLCSH
"Anti-war poetry, Oriya",ChangeHeadingLCSH
Antifa (Organisation),ProblemLCSH
"Architecture, Mogul Empire",ChangeHeadingLCSH
"Argentina--History--Dirty War, 1976-1983",ProblemLCSH
"Art, Mogul Empire",ChangeHeadingLCSH
"Art, Oriya",ChangeHeadingLCSH
"Arts, Oriya",ChangeHeadingLCSH
"Arts, Rapanui",ChangeHeadingLCSH
Asian American bisexuals,ChangeHeadingLCSH
Asian American gays,ChangeHeadingLCSH
Asian flu,ProblemLCSH
Asperger's syndrome,ProblemLCSH
Attention-deficit disorder in adolescence,CancelHeadingLCSH
Attention-deficit disorder in adults,CancelHeadingLCSH
Attention-deficit-disordered children,CancelHeadingLCSH
Attention-deficit-disordered parents,ChangeHeadingLCSH
Attention-deficit-disordered youth,ChangeHeadingLCSH
"Authors, Oriya",ChangeHeadingLCSH
Ayta Mag Indi dialect,ChangeHeadingLCSH
B.C. and A.D.,ProblemLCSH
B17 (Steam locomotive),ChangeHeadingLCSH
"Baksoko River (Java, Indonesia)",ChangeHeadingLCSH
"Baksoko River Valley (Java, Indonesia)",ChangeHeadingLCSH
"Ballads, Oriya",ChangeHeadingLCSH
Batuque (Cult),ChangeHeadingLCSH
Baucis (Greek mythology),CancelHeadingLCSH
Baybayin alphabet,ChangeHeadingLCSH
Bellerophon (Greek mythology),CancelHeadingLCSH
Berbers,ProblemLCSH
"Bhajans, Oriya",ChangeHeadingLCSH
Bibles for the deaf,ChangeHeadingLCSH
Bildungsromans,ProblemLCSH
"Bird, Mount (Ross Island, Ross Sea, Antarctica)",ChangeHeadingLCSH
Bisexuals,ChangeHeadingLCSH
Bisexuals' writings,ChangeHeadingLCSH
"Bisexuals' writings, American",ChangeHeadingLCSH
"Bisexuals' writings, Canadian",ChangeHeadingLCSH
"Bisexuals' writings, English",ChangeHeadingLCSH
Bisio (African people),ChangeHeadingLCSH
Blacks,ChangeHeadingLCSH
Boat people,ProblemLCSH
Bossiness,ProblemLCSH
Boys love (Gay erotica),ChangeHeadingLCSH
"Brazil--History--Revolution, 1964",ProblemLCSH
Brecon Beacons National Park (Wales),ChangeHeadingLCSH
Buddhist gays,ChangeHeadingLCSH
Bukit Baka-Bukit Raya National Park (Indonesia),ChangeHeadingLCSH
Cadaver in art,CancelHeadingLCSH
"Calligraphy, Mogul Empire",ChangeHeadingLCSH
Candomblé (Religion),ChangeHeadingLCSH
Candra (Hindu deity),CancelHeadingLCSH
"Cang Lang Ting (Suzhou, Jiangsu Sheng, China)",ChangeHeadingLCSH
Catholic gays,ChangeHeadingLCSH
Catimbó (Cult),ChangeHeadingLCSH
Cerebral palsied,ProblemLCSH
Cerebral palsied,ChangeHeadingLCSH
Cerebral palsied artists,ChangeHeadingLCSH
Cerebral palsied children,ChangeHeadingLCSH
Cheju Tol Munhwa Kongwŏn (Korea),ChangeHeadingLCSH
Child pornography,ProblemLCSH
Children of attention-deficit-disordered parents,ChangeHeadingLCSH
Children of egg donors,CancelHeadingLCSH
Children of sperm donors,CancelHeadingLCSH
"Children's encyclopedias and dictionaries, Oriya",ChangeHeadingLCSH
"Children's literature, Oriya",ChangeHeadingLCSH
"Children's periodicals, Oriya",ChangeHeadingLCSH
"Children's plays, Oriya",ChangeHeadingLCSH
"Children's poetry, Oriya",ChangeHeadingLCSH
"Children's stories, Oriya",ChangeHeadingLCSH
Christian education of the deaf,ChangeHeadingLCSH
Christian gays,ChangeHeadingLCSH
Church work with African American gays,ChangeHeadingLCSH
Church work with attention-deficit-disordered youth,ChangeHeadingLCSH
Church work with gays,ChangeHeadingLCSH
Church work with the deaf,ChangeHeadingLCSH
Civil procedure (Bantu law),CancelHeadingLCSH
Climatic changes,ProblemLCSH
Closeted gays,ChangeHeadingLCSH
Closeted gays in literature,ChangeHeadingLCSH
Common fallacies,ProblemLCSH
"Cooking, Oriya",ChangeHeadingLCSH
Counseling in education of the deaf,ChangeHeadingLCSH
"COVID-19 Pandemic, 2020-",ChangeHeadingLCSH
"COVID-19 Pandemic, 2020- , in art",ChangeHeadingLCSH
